"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,120,"GA"
4,4,1,2,"true","false",512,8,1.29363514465716e-10,120,"GA"
10,5,2,4,"true","true",256,4,1.41563511285379e-10,120,"GA"
4,4,1,4,"true","false",512,4,1.27446189399586e-10,120,"GA"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GA"
6,6,1,4,"true","false",1024,2,1.18717485534039e-10,120,"GA"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA"
6,3,2,2,"true","true",512,2,1.61971939787545e-10,120,"GA"
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA"
5,5,1,2,"true","true",512,2,1.19786051216568e-10,120,"GA"
4,4,1,4,"true","true",512,8,1.26909617043121e-10,120,"GA"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA"
3,3,1,4,"true","true",512,2,1.35560093260181e-10,120,"GA"
4,4,1,4,"true","true",256,1,1.27412788675057e-10,120,"GA"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA"
6,6,1,2,"true","false",1024,2,1.20524986739671e-10,120,"GA"
12,6,2,2,"true","true",256,2,1.36929473450724e-10,120,"GA"
5,5,1,4,"true","false",256,4,1.21905973842592e-10,120,"GA"
6,6,1,4,"true","true",256,8,1.19614452797975e-10,120,"GA"
6,6,1,2,"true","false",512,1,1.19017365172127e-10,120,"GA"
6,3,2,4,"true","false",1024,4,1.53478841764969e-10,120,"GA"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA"
4,4,1,4,"true","true",128,2,1.2616196070333e-10,120,"GA"
5,5,1,2,"true","false",512,8,1.1931257630123e-10,120,"GA"
6,6,1,4,"true","false",128,2,1.18718825467539e-10,120,"GA"
12,6,2,2,"true","false",256,2,1.37455954892558e-10,120,"GA"
6,6,1,4,"true","true",512,4,1.21740913105725e-10,120,"GA"
12,6,1,2,"true","false",256,4,1.37042936332678e-10,120,"GA"
12,6,1,2,"true","false",128,2,1.37325279558869e-10,120,"GA"
5,5,1,2,"true","true",512,2,1.19786051216568e-10,120,"GA"
6,6,1,2,"true","true",128,1,1.18258966570151e-10,120,"GA"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GA"
4,4,1,2,"true","true",128,1,1.2777883632919e-10,120,"GA"
10,5,2,2,"true","false",512,4,1.42308824451469e-10,120,"GA"
3,3,1,2,"true","false",1024,8,1.38077893481354e-10,120,"GA"
3,3,1,2,"true","false",512,4,1.36227302720955e-10,120,"GA"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"GA"
10,5,1,4,"true","true",256,4,1.43056850996213e-10,120,"GA"
24,6,1,2,"true","false",128,2,1.42736530572719e-10,120,"GA"
